date_id,date,week_number,year,month,quarter
20230102,2023-01-02,1,2023,1,Q1
20230109,2023-01-09,2,2023,1,Q1
20230116,2023-01-16,3,2023,1,Q1
20230123,2023-01-23,4,2023,1,Q1
20230130,2023-01-30,5,2023,1,Q1
20230206,2023-02-06,6,2023,2,Q1
20230213,2023-02-13,7,2023,2,Q1
20230220,2023-02-20,8,2023,2,Q1
20230227,2023-02-27,9,2023,2,Q1
20230306,2023-03-06,10,2023,3,Q1
20230313,2023-03-13,11,2023,3,Q1
20230320,2023-03-20,12,2023,3,Q1
20230327,2023-03-27,13,2023,3,Q1
20230403,2023-04-03,14,2023,4,Q2
20230410,2023-04-10,15,2023,4,Q2
20230417,2023-04-17,16,2023,4,Q2
20230424,2023-04-24,17,2023,4,Q2
20230501,2023-05-01,18,2023,5,Q2
20230508,2023-05-08,19,2023,5,Q2
20230515,2023-05-15,20,2023,5,Q2
20230522,2023-05-22,21,2023,5,Q2
20230529,2023-05-29,22,2023,5,Q2
20230605,2023-06-05,23,2023,6,Q2
20230612,2023-06-12,24,2023,6,Q2
20230619,2023-06-19,25,2023,6,Q2
20230626,2023-06-26,26,2023,6,Q2
20230703,2023-07-03,27,2023,7,Q3
20230710,2023-07-10,28,2023,7,Q3
20230717,2023-07-17,29,2023,7,Q3
20230724,2023-07-24,30,2023,7,Q3
20230731,2023-07-31,31,2023,7,Q3
20230807,2023-08-07,32,2023,8,Q3
20230814,2023-08-14,33,2023,8,Q3
20230821,2023-08-21,34,2023,8,Q3
20230828,2023-08-28,35,2023,8,Q3
20230904,2023-09-04,36,2023,9,Q3
20230911,2023-09-11,37,2023,9,Q3
20230918,2023-09-18,38,2023,9,Q3
20230925,2023-09-25,39,2023,9,Q3
20231002,2023-10-02,40,2023,10,Q4
20231009,2023-10-09,41,2023,10,Q4
20231016,2023-10-16,42,2023,10,Q4
20231023,2023-10-23,43,2023,10,Q4
20231030,2023-10-30,44,2023,10,Q4
20231106,2023-11-06,45,2023,11,Q4
20231113,2023-11-13,46,2023,11,Q4
20231120,2023-11-20,47,2023,11,Q4
20231127,2023-11-27,48,2023,11,Q4
20231204,2023-12-04,49,2023,12,Q4
20231211,2023-12-11,50,2023,12,Q4
20231218,2023-12-18,51,2023,12,Q4
20231225,2023-12-25,52,2023,12,Q4
20240101,2024-01-01,1,2024,1,Q1
20240108,2024-01-08,2,2024,1,Q1
20240115,2024-01-15,3,2024,1,Q1
20240122,2024-01-22,4,2024,1,Q1
20240129,2024-01-29,5,2024,1,Q1
20240205,2024-02-05,6,2024,2,Q1
20240212,2024-02-12,7,2024,2,Q1
20240219,2024-02-19,8,2024,2,Q1
20240226,2024-02-26,9,2024,2,Q1
20240304,2024-03-04,10,2024,3,Q1
20240311,2024-03-11,11,2024,3,Q1
20240318,2024-03-18,12,2024,3,Q1
20240325,2024-03-25,13,2024,3,Q1
20240401,2024-04-01,14,2024,4,Q2
20240408,2024-04-08,15,2024,4,Q2
20240415,2024-04-15,16,2024,4,Q2
20240422,2024-04-22,17,2024,4,Q2
20240429,2024-04-29,18,2024,4,Q2
20240506,2024-05-06,19,2024,5,Q2
20240513,2024-05-13,20,2024,5,Q2
20240520,2024-05-20,21,2024,5,Q2
20240527,2024-05-27,22,2024,5,Q2
20240603,2024-06-03,23,2024,6,Q2
20240610,2024-06-10,24,2024,6,Q2
20240617,2024-06-17,25,2024,6,Q2
20240624,2024-06-24,26,2024,6,Q2
20240701,2024-07-01,27,2024,7,Q3
20240708,2024-07-08,28,2024,7,Q3
20240715,2024-07-15,29,2024,7,Q3
20240722,2024-07-22,30,2024,7,Q3
20240729,2024-07-29,31,2024,7,Q3
20240805,2024-08-05,32,2024,8,Q3
20240812,2024-08-12,33,2024,8,Q3
20240819,2024-08-19,34,2024,8,Q3
20240826,2024-08-26,35,2024,8,Q3
20240902,2024-09-02,36,2024,9,Q3
20240909,2024-09-09,37,2024,9,Q3
20240916,2024-09-16,38,2024,9,Q3
20240923,2024-09-23,39,2024,9,Q3
20240930,2024-09-30,40,2024,9,Q3
20241007,2024-10-07,41,2024,10,Q4
20241014,2024-10-14,42,2024,10,Q4
20241021,2024-10-21,43,2024,10,Q4
20241028,2024-10-28,44,2024,10,Q4
20241104,2024-11-04,45,2024,11,Q4
20241111,2024-11-11,46,2024,11,Q4
20241118,2024-11-18,47,2024,11,Q4
20241125,2024-11-25,48,2024,11,Q4
20241202,2024-12-02,49,2024,12,Q4
20241209,2024-12-09,50,2024,12,Q4
20241216,2024-12-16,51,2024,12,Q4
20241223,2024-12-23,52,2024,12,Q4
20241230,2024-12-30,1,2024,12,Q4
