vendor_id,vendor_name,vendor_type,sla_target_hours
VEN0001,Preferred Service Vendor 001,Strategic,24
VEN0002,Preferred Service Vendor 002,Standard,2
VEN0003,Preferred Service Vendor 003,Standard,12
VEN0004,Preferred Service Vendor 004,Strategic,12
VEN0005,Preferred Service Vendor 005,Preferred,24
VEN0006,Preferred Service Vendor 006,Strategic,8
VEN0007,Preferred Service Vendor 007,Preferred,8
VEN0008,Preferred Service Vendor 008,Standard,12
VEN0009,Preferred Service Vendor 009,Standard,8
VEN0010,Preferred Service Vendor 010,Strategic,8
VEN0011,Preferred Service Vendor 011,Standard,4
VEN0012,Preferred Service Vendor 012,Preferred,2
VEN0013,Preferred Service Vendor 013,Strategic,12
VEN0014,Preferred Service Vendor 014,Preferred,12
VEN0015,Preferred Service Vendor 015,Standard,8
VEN0016,Preferred Service Vendor 016,Preferred,4
VEN0017,Preferred Service Vendor 017,Standard,8
VEN0018,Preferred Service Vendor 018,Standard,12
VEN0019,Preferred Service Vendor 019,Strategic,4
VEN0020,Preferred Service Vendor 020,Preferred,8
VEN0021,Preferred Service Vendor 021,Strategic,12
VEN0022,Preferred Service Vendor 022,Standard,12
VEN0023,Preferred Service Vendor 023,Standard,24
VEN0024,Preferred Service Vendor 024,Preferred,24
VEN0025,Preferred Service Vendor 025,Preferred,2
VEN0026,Preferred Service Vendor 026,Strategic,8
VEN0027,Preferred Service Vendor 027,Preferred,12
VEN0028,Preferred Service Vendor 028,Strategic,8
VEN0029,Preferred Service Vendor 029,Preferred,12
VEN0030,Preferred Service Vendor 030,Preferred,12
VEN0031,Preferred Service Vendor 031,Preferred,24
VEN0032,Preferred Service Vendor 032,Preferred,4
VEN0033,Preferred Service Vendor 033,Preferred,8
VEN0034,Preferred Service Vendor 034,Preferred,8
VEN0035,Preferred Service Vendor 035,Preferred,8
VEN0036,Preferred Service Vendor 036,Standard,12
VEN0037,Preferred Service Vendor 037,Preferred,2
VEN0038,Preferred Service Vendor 038,Standard,2
VEN0039,Preferred Service Vendor 039,Strategic,12
VEN0040,Preferred Service Vendor 040,Standard,4
VEN0041,Preferred Service Vendor 041,Preferred,24
VEN0042,Preferred Service Vendor 042,Standard,4
VEN0043,Preferred Service Vendor 043,Preferred,8
VEN0044,Preferred Service Vendor 044,Preferred,2
VEN0045,Preferred Service Vendor 045,Preferred,8
VEN0046,Preferred Service Vendor 046,Preferred,12
VEN0047,Preferred Service Vendor 047,Preferred,4
VEN0048,Preferred Service Vendor 048,Preferred,8
VEN0049,Preferred Service Vendor 049,Strategic,4
VEN0050,Preferred Service Vendor 050,Strategic,2
VEN0051,Preferred Service Vendor 051,Strategic,2
VEN0052,Preferred Service Vendor 052,Strategic,12
VEN0053,Preferred Service Vendor 053,Preferred,8
VEN0054,Preferred Service Vendor 054,Preferred,12
VEN0055,Preferred Service Vendor 055,Standard,8
VEN0056,Preferred Service Vendor 056,Strategic,4
VEN0057,Preferred Service Vendor 057,Standard,12
VEN0058,Preferred Service Vendor 058,Standard,24
VEN0059,Preferred Service Vendor 059,Standard,24
VEN0060,Preferred Service Vendor 060,Strategic,8
VEN0061,Preferred Service Vendor 061,Standard,8
VEN0062,Preferred Service Vendor 062,Standard,8
VEN0063,Preferred Service Vendor 063,Standard,4
VEN0064,Preferred Service Vendor 064,Preferred,2
VEN0065,Preferred Service Vendor 065,Standard,8
VEN0066,Preferred Service Vendor 066,Standard,4
VEN0067,Preferred Service Vendor 067,Preferred,4
VEN0068,Preferred Service Vendor 068,Preferred,12
VEN0069,Preferred Service Vendor 069,Standard,8
VEN0070,Preferred Service Vendor 070,Preferred,24
VEN0071,Preferred Service Vendor 071,Strategic,12
VEN0072,Preferred Service Vendor 072,Preferred,12
VEN0073,Preferred Service Vendor 073,Standard,8
VEN0074,Preferred Service Vendor 074,Standard,8
VEN0075,Preferred Service Vendor 075,Strategic,8
VEN0076,Preferred Service Vendor 076,Standard,8
VEN0077,Preferred Service Vendor 077,Standard,4
VEN0078,Preferred Service Vendor 078,Standard,8
VEN0079,Preferred Service Vendor 079,Preferred,8
VEN0080,Preferred Service Vendor 080,Standard,12
VEN0081,Preferred Service Vendor 081,Standard,8
VEN0082,Preferred Service Vendor 082,Preferred,2
VEN0083,Preferred Service Vendor 083,Preferred,24
VEN0084,Preferred Service Vendor 084,Strategic,12
VEN0085,Preferred Service Vendor 085,Preferred,2
VEN0086,Preferred Service Vendor 086,Preferred,8
VEN0087,Preferred Service Vendor 087,Strategic,4
VEN0088,Preferred Service Vendor 088,Preferred,12
VEN0089,Preferred Service Vendor 089,Preferred,2
VEN0090,Preferred Service Vendor 090,Preferred,8
VEN0091,Preferred Service Vendor 091,Strategic,4
VEN0092,Preferred Service Vendor 092,Preferred,4
VEN0093,Preferred Service Vendor 093,Preferred,24
VEN0094,Preferred Service Vendor 094,Strategic,12
VEN0095,Preferred Service Vendor 095,Preferred,4
VEN0096,Preferred Service Vendor 096,Preferred,8
VEN0097,Preferred Service Vendor 097,Standard,4
VEN0098,Preferred Service Vendor 098,Strategic,8
VEN0099,Preferred Service Vendor 099,Preferred,24
VEN0100,Preferred Service Vendor 100,Preferred,8
VEN0101,Preferred Service Vendor 101,Preferred,24
VEN0102,Preferred Service Vendor 102,Strategic,12
VEN0103,Preferred Service Vendor 103,Strategic,8
VEN0104,Preferred Service Vendor 104,Strategic,4
VEN0105,Preferred Service Vendor 105,Preferred,2
VEN0106,Preferred Service Vendor 106,Standard,8
VEN0107,Preferred Service Vendor 107,Strategic,12
VEN0108,Preferred Service Vendor 108,Strategic,12
VEN0109,Preferred Service Vendor 109,Preferred,4
VEN0110,Preferred Service Vendor 110,Preferred,12
VEN0111,Preferred Service Vendor 111,Preferred,12
VEN0112,Preferred Service Vendor 112,Preferred,2
VEN0113,Preferred Service Vendor 113,Preferred,24
VEN0114,Preferred Service Vendor 114,Standard,2
VEN0115,Preferred Service Vendor 115,Strategic,8
VEN0116,Preferred Service Vendor 116,Strategic,24
VEN0117,Preferred Service Vendor 117,Preferred,8
VEN0118,Preferred Service Vendor 118,Preferred,24
VEN0119,Preferred Service Vendor 119,Preferred,4
VEN0120,Preferred Service Vendor 120,Preferred,8
