consultant_id,week_start_date,consultant_name,vertical_id,vertical_name,requests_handled,capacity_utilization_pct,profitability_pct,revenue,profit,cost
CONT001,2023-01-02,Global Advisor 001,V05,APAC,2417,0.8698,0.1287,243019.15,31276.56,211742.59
CONT001,2023-01-09,Global Advisor 001,V05,APAC,3239,0.8159,0.105,359729.57,37771.6,321957.97
CONT001,2023-01-16,Global Advisor 001,V05,APAC,1727,0.6804,0.1187,164158.96,19485.67,144673.29
CONT001,2023-01-23,Global Advisor 001,V05,APAC,2786,0.9356,0.125,353734.81,44216.85,309517.96
CONT001,2023-01-30,Global Advisor 001,V05,APAC,2731,0.839,0.1424,222661.53,31707.0,190954.53
CONT001,2023-02-06,Global Advisor 001,V05,APAC,1641,0.7552,0.1108,123572.82,13691.87,109880.95
CONT001,2023-02-13,Global Advisor 001,V05,APAC,3268,0.6906,0.1204,268595.35,32338.88,236256.47
CONT001,2023-02-20,Global Advisor 001,V05,APAC,1800,0.8573,0.099,232866.08,23053.74,209812.34
CONT001,2023-02-27,Global Advisor 001,V05,APAC,3043,0.5563,0.1159,261923.43,30356.93,231566.5
CONT001,2023-03-06,Global Advisor 001,V05,APAC,2541,0.8809,0.1039,225890.12,23469.98,202420.14
CONT001,2023-03-13,Global Advisor 001,V05,APAC,2263,0.6214,0.1295,161310.28,20889.68,140420.6
CONT001,2023-03-20,Global Advisor 001,V05,APAC,3140,0.8761,0.1136,318391.87,36169.32,282222.55
CONT001,2023-03-27,Global Advisor 001,V05,APAC,1548,0.672,0.1313,165767.52,21765.28,144002.24
CONT001,2023-04-03,Global Advisor 001,V05,APAC,2222,0.8078,0.1093,191565.45,20938.1,170627.35
CONT001,2023-04-10,Global Advisor 001,V05,APAC,2708,0.99,0.0909,357101.49,32460.53,324640.96
CONT001,2023-04-17,Global Advisor 001,V05,APAC,1989,0.9092,0.0865,236274.28,20437.73,215836.55
CONT001,2023-04-24,Global Advisor 001,V05,APAC,1826,0.6871,0.1244,215407.41,26796.68,188610.73
CONT001,2023-05-01,Global Advisor 001,V05,APAC,1855,0.8335,0.121,209444.46,25342.78,184101.68
CONT001,2023-05-08,Global Advisor 001,V05,APAC,2175,0.6958,0.1116,289443.02,32301.84,257141.18
CONT001,2023-05-15,Global Advisor 001,V05,APAC,1966,0.651,0.0939,226534.86,21271.62,205263.24
CONT001,2023-05-22,Global Advisor 001,V05,APAC,2902,0.99,0.108,356185.63,38468.05,317717.58
CONT001,2023-05-29,Global Advisor 001,V05,APAC,1771,0.8366,0.1142,130058.42,14852.67,115205.75
CONT001,2023-06-05,Global Advisor 001,V05,APAC,2073,0.7848,0.1059,242518.34,25682.69,216835.65
CONT001,2023-06-12,Global Advisor 001,V05,APAC,2368,0.9532,0.1001,257824.34,25808.22,232016.12
CONT001,2023-06-19,Global Advisor 001,V05,APAC,1987,0.7616,0.1047,265147.61,27760.95,237386.66
CONT001,2023-06-26,Global Advisor 001,V05,APAC,2480,0.6362,0.1293,188759.16,24406.56,164352.6
CONT001,2023-07-03,Global Advisor 001,V05,APAC,1204,0.6809,0.0996,151672.25,15106.56,136565.69
CONT001,2023-07-10,Global Advisor 001,V05,APAC,2801,0.9313,0.1189,222075.07,26404.73,195670.34
CONT001,2023-07-17,Global Advisor 001,V05,APAC,3194,0.7156,0.1154,365022.15,42123.56,322898.59
CONT001,2023-07-24,Global Advisor 001,V05,APAC,3027,0.9208,0.1211,353095.11,42759.82,310335.29
CONT001,2023-07-31,Global Advisor 001,V05,APAC,1844,0.99,0.0968,165249.53,15996.15,149253.38
CONT001,2023-08-07,Global Advisor 001,V05,APAC,2063,0.9487,0.1408,264723.02,37273.0,227450.02
CONT001,2023-08-14,Global Advisor 001,V05,APAC,2381,0.7105,0.0921,269602.93,24830.43,244772.5
CONT001,2023-08-21,Global Advisor 001,V05,APAC,1524,0.9258,0.1102,180235.86,19861.99,160373.87
CONT001,2023-08-28,Global Advisor 001,V05,APAC,873,0.7738,0.0976,81715.39,7975.42,73739.97
CONT001,2023-09-04,Global Advisor 001,V05,APAC,2405,0.7305,0.1162,190678.08,22156.79,168521.29
CONT001,2023-09-11,Global Advisor 001,V05,APAC,2656,0.6546,0.1039,201230.67,20907.87,180322.8
CONT001,2023-09-18,Global Advisor 001,V05,APAC,2560,0.815,0.1282,314271.48,40289.6,273981.88
CONT001,2023-09-25,Global Advisor 001,V05,APAC,1460,0.9528,0.1091,171238.29,18682.1,152556.19
CONT001,2023-10-02,Global Advisor 001,V05,APAC,2787,0.8786,0.1007,231737.88,23336.0,208401.88
CONT001,2023-10-09,Global Advisor 001,V05,APAC,2180,0.7669,0.0909,172599.13,15689.26,156909.87
CONT001,2023-10-16,Global Advisor 001,V05,APAC,2349,0.8202,0.0945,287895.33,27206.11,260689.22
CONT001,2023-10-23,Global Advisor 001,V05,APAC,795,0.8226,0.0983,82722.83,8131.65,74591.18
CONT001,2023-10-30,Global Advisor 001,V05,APAC,1723,0.8684,0.1024,123420.7,12638.28,110782.42
CONT001,2023-11-06,Global Advisor 001,V05,APAC,2265,0.6009,0.1207,253275.4,30570.34,222705.06
CONT001,2023-11-13,Global Advisor 001,V05,APAC,2261,0.7777,0.1323,258260.05,34167.8,224092.25
CONT001,2023-11-20,Global Advisor 001,V05,APAC,1759,0.8761,0.108,135931.48,14680.6,121250.88
CONT001,2023-11-27,Global Advisor 001,V05,APAC,2145,0.6158,0.1128,179041.61,20195.89,158845.72
CONT001,2023-12-04,Global Advisor 001,V05,APAC,1572,0.8729,0.1008,144681.0,14583.84,130097.16
CONT001,2023-12-11,Global Advisor 001,V05,APAC,1609,0.99,0.1172,202508.29,23733.97,178774.32
CONT001,2023-12-18,Global Advisor 001,V05,APAC,2999,0.5723,0.0903,221502.96,20001.72,201501.24
CONT001,2023-12-25,Global Advisor 001,V05,APAC,3137,0.8521,0.1074,356328.11,38269.64,318058.47
CONT001,2024-01-01,Global Advisor 001,V05,APAC,1939,0.8689,0.0925,173596.38,16057.67,157538.71
CONT001,2024-01-08,Global Advisor 001,V05,APAC,2142,0.7924,0.109,199324.49,21726.37,177598.12
CONT001,2024-01-15,Global Advisor 001,V05,APAC,1950,0.9156,0.1068,145616.43,15551.83,130064.6
CONT001,2024-01-22,Global Advisor 001,V05,APAC,2189,0.8182,0.1053,277081.05,29176.63,247904.42
CONT001,2024-01-29,Global Advisor 001,V05,APAC,2826,0.6914,0.0852,260182.17,22167.52,238014.65
CONT001,2024-02-05,Global Advisor 001,V05,APAC,2729,0.6704,0.0978,230511.62,22544.04,207967.58
CONT001,2024-02-12,Global Advisor 001,V05,APAC,2085,0.6304,0.1065,161600.6,17210.46,144390.14
CONT001,2024-02-19,Global Advisor 001,V05,APAC,2077,0.8239,0.0965,227396.7,21943.78,205452.92
CONT001,2024-02-26,Global Advisor 001,V05,APAC,2938,0.7836,0.1044,267256.68,27901.6,239355.08
CONT001,2024-03-04,Global Advisor 001,V05,APAC,2500,0.8309,0.1209,276596.26,33440.49,243155.77
CONT001,2024-03-11,Global Advisor 001,V05,APAC,1729,0.99,0.116,179801.81,20857.01,158944.8
CONT001,2024-03-18,Global Advisor 001,V05,APAC,1739,0.99,0.1261,125475.64,15822.48,109653.16
CONT001,2024-03-25,Global Advisor 001,V05,APAC,2151,0.7245,0.1005,288084.62,28952.5,259132.12
CONT001,2024-04-01,Global Advisor 001,V05,APAC,1823,0.6264,0.125,187533.82,23441.73,164092.09
CONT001,2024-04-08,Global Advisor 001,V05,APAC,2988,0.7859,0.1154,270624.31,31230.05,239394.26
CONT001,2024-04-15,Global Advisor 001,V05,APAC,2891,0.7019,0.0923,341783.39,31546.61,310236.78
CONT001,2024-04-22,Global Advisor 001,V05,APAC,3379,0.99,0.1063,239946.23,25506.28,214439.95
CONT001,2024-04-29,Global Advisor 001,V05,APAC,1808,0.8934,0.0951,200748.96,19091.23,181657.73
CONT001,2024-05-06,Global Advisor 001,V05,APAC,2938,0.8564,0.1282,254201.56,32588.64,221612.92
CONT001,2024-05-13,Global Advisor 001,V05,APAC,2640,0.8882,0.0978,195334.02,19103.67,176230.35
CONT001,2024-05-20,Global Advisor 001,V05,APAC,2712,0.8318,0.1197,320920.14,38414.14,282506.0
CONT001,2024-05-27,Global Advisor 001,V05,APAC,2272,0.9116,0.1107,213011.53,23580.38,189431.15
CONT001,2024-06-03,Global Advisor 001,V05,APAC,1822,0.726,0.1158,238759.08,27648.3,211110.78
CONT001,2024-06-10,Global Advisor 001,V05,APAC,2690,0.7388,0.1288,202695.24,26107.15,176588.09
CONT001,2024-06-17,Global Advisor 001,V05,APAC,2790,0.7075,0.1096,272718.83,29889.98,242828.85
CONT001,2024-06-24,Global Advisor 001,V05,APAC,2422,0.8908,0.1053,251562.97,26489.58,225073.39
CONT001,2024-07-01,Global Advisor 001,V05,APAC,2074,0.845,0.1118,257284.09,28764.36,228519.73
CONT001,2024-07-08,Global Advisor 001,V05,APAC,1605,0.6842,0.1155,182854.35,21119.68,161734.67
CONT001,2024-07-15,Global Advisor 001,V05,APAC,2158,0.912,0.1294,190146.27,24604.93,165541.34
CONT001,2024-07-22,Global Advisor 001,V05,APAC,2433,0.7221,0.113,276928.44,31292.91,245635.53
CONT001,2024-07-29,Global Advisor 001,V05,APAC,1359,0.8579,0.1138,171498.48,19516.53,151981.95
CONT001,2024-08-05,Global Advisor 001,V05,APAC,1319,0.6817,0.1245,177925.72,22151.75,155773.97
CONT001,2024-08-12,Global Advisor 001,V05,APAC,1266,0.6421,0.1084,130810.12,14179.82,116630.3
CONT001,2024-08-19,Global Advisor 001,V05,APAC,2995,0.9346,0.1183,344248.25,40724.57,303523.68
CONT001,2024-08-26,Global Advisor 001,V05,APAC,2423,0.7415,0.1225,199405.87,24427.22,174978.65
CONT001,2024-09-02,Global Advisor 001,V05,APAC,1390,0.8495,0.1018,143775.72,14636.37,129139.35
CONT001,2024-09-09,Global Advisor 001,V05,APAC,1603,0.6704,0.1154,121769.77,14052.23,107717.54
CONT001,2024-09-16,Global Advisor 001,V05,APAC,2453,0.8997,0.1191,233674.91,27830.68,205844.23
CONT001,2024-09-23,Global Advisor 001,V05,APAC,2529,0.8423,0.1087,295108.39,32078.28,263030.11
CONT001,2024-09-30,Global Advisor 001,V05,APAC,1679,0.6464,0.1113,175466.0,19529.37,155936.63
CONT001,2024-10-07,Global Advisor 001,V05,APAC,1321,0.6712,0.1043,127557.21,13304.22,114252.99
CONT001,2024-10-14,Global Advisor 001,V05,APAC,1736,0.5956,0.1033,131521.61,13586.18,117935.43
CONT001,2024-10-21,Global Advisor 001,V05,APAC,2281,0.8187,0.1156,247128.51,28568.06,218560.45
CONT001,2024-10-28,Global Advisor 001,V05,APAC,2309,0.8149,0.1076,252440.59,27162.61,225277.98
CONT001,2024-11-04,Global Advisor 001,V05,APAC,1049,0.99,0.1082,135402.59,14650.56,120752.03
CONT001,2024-11-11,Global Advisor 001,V05,APAC,2009,0.6166,0.1092,187061.93,20427.16,166634.77
CONT001,2024-11-18,Global Advisor 001,V05,APAC,879,0.7017,0.1441,114311.26,16472.25,97839.01
CONT001,2024-11-25,Global Advisor 001,V05,APAC,2914,0.7496,0.0987,386910.01,38188.02,348721.99
CONT001,2024-12-02,Global Advisor 001,V05,APAC,1191,0.7714,0.1203,119673.65,14396.74,105276.91
CONT001,2024-12-09,Global Advisor 001,V05,APAC,2294,0.8017,0.1172,227113.07,26617.65,200495.42
CONT001,2024-12-16,Global Advisor 001,V05,APAC,1920,0.8376,0.1084,231982.15,25146.87,206835.28
CONT001,2024-12-23,Global Advisor 001,V05,APAC,1753,0.8232,0.1284,197305.76,25334.06,171971.7
CONT001,2024-12-30,Global Advisor 001,V05,APAC,2233,0.8675,0.1119,218953.86,24500.94,194452.92
CONT002,2023-01-02,Global Advisor 002,V05,APAC,2223,0.9548,0.107,206902.21,22138.54,184763.67
CONT002,2023-01-09,Global Advisor 002,V05,APAC,2317,0.8105,0.0974,241042.94,23477.58,217565.36
CONT002,2023-01-16,Global Advisor 002,V05,APAC,2290,0.7729,0.1325,191386.73,25358.74,166027.99
CONT002,2023-01-23,Global Advisor 002,V05,APAC,1741,0.5521,0.1156,200952.14,23230.07,177722.07
CONT002,2023-01-30,Global Advisor 002,V05,APAC,1945,0.8633,0.1015,154658.03,15697.79,138960.24
CONT002,2023-02-06,Global Advisor 002,V05,APAC,2309,0.548,0.1057,306248.94,32370.51,273878.43
CONT002,2023-02-13,Global Advisor 002,V05,APAC,1947,0.5963,0.1002,206565.77,20697.89,185867.88
CONT002,2023-02-20,Global Advisor 002,V05,APAC,2166,0.9466,0.0989,227913.52,22540.65,205372.87
CONT002,2023-02-27,Global Advisor 002,V05,APAC,1958,0.7936,0.0957,163830.43,15678.57,148151.86
CONT002,2023-03-06,Global Advisor 002,V05,APAC,2992,0.8166,0.1267,307648.3,38979.04,268669.26
CONT002,2023-03-13,Global Advisor 002,V05,APAC,2100,0.9411,0.1227,273644.48,33576.18,240068.3
CONT002,2023-03-20,Global Advisor 002,V05,APAC,2884,0.8367,0.1099,354408.25,38949.47,315458.78
CONT002,2023-03-27,Global Advisor 002,V05,APAC,1746,0.7651,0.1013,192952.25,19546.06,173406.19
CONT002,2023-04-03,Global Advisor 002,V05,APAC,2036,0.6371,0.1258,273122.33,34358.79,238763.54
CONT002,2023-04-10,Global Advisor 002,V05,APAC,2552,0.7389,0.1156,336930.23,38949.13,297981.1
CONT002,2023-04-17,Global Advisor 002,V05,APAC,2692,0.7027,0.1002,249964.08,25046.4,224917.68
CONT002,2023-04-24,Global Advisor 002,V05,APAC,2499,0.6268,0.1094,271765.39,29731.13,242034.26
CONT002,2023-05-01,Global Advisor 002,V05,APAC,2542,0.5438,0.1123,293562.14,32967.03,260595.11
CONT002,2023-05-08,Global Advisor 002,V05,APAC,2301,0.6367,0.1192,199853.5,23822.54,176030.96
CONT002,2023-05-15,Global Advisor 002,V05,APAC,2433,0.7578,0.0877,216747.36,19008.74,197738.62
CONT002,2023-05-22,Global Advisor 002,V05,APAC,2376,0.8856,0.1227,197605.85,24246.24,173359.61
CONT002,2023-05-29,Global Advisor 002,V05,APAC,2394,0.8782,0.1231,170910.75,21039.11,149871.64
CONT002,2023-06-05,Global Advisor 002,V05,APAC,1833,0.5244,0.0919,140428.58,12905.39,127523.19
CONT002,2023-06-12,Global Advisor 002,V05,APAC,2130,0.99,0.1061,166938.21,17712.14,149226.07
CONT002,2023-06-19,Global Advisor 002,V05,APAC,2095,0.9557,0.1139,215058.34,24495.14,190563.2
CONT002,2023-06-26,Global Advisor 002,V05,APAC,2415,0.643,0.1272,207335.52,26373.08,180962.44
