vendor_id,week_start_date,vendor_name,vendor_type,sla_target_hours,request_volume,actual_avg_hours,breach_flag,sla_compliance_pct
VEN0001,2023-01-02,Preferred Service Vendor 001,Strategic,24,4332,34.16,1,0.492
VEN0001,2023-01-09,Preferred Service Vendor 001,Strategic,24,4865,20.52,0,1.0
VEN0001,2023-01-16,Preferred Service Vendor 001,Strategic,24,3161,14.66,0,1.0
VEN0001,2023-01-23,Preferred Service Vendor 001,Strategic,24,3925,25.51,1,0.9245
VEN0001,2023-01-30,Preferred Service Vendor 001,Strategic,24,3763,20.26,0,1.0
VEN0001,2023-02-06,Preferred Service Vendor 001,Strategic,24,4776,23.25,0,1.0
VEN0001,2023-02-13,Preferred Service Vendor 001,Strategic,24,3555,22.12,0,1.0
VEN0001,2023-02-20,Preferred Service Vendor 001,Strategic,24,5668,30.5,1,0.675
VEN0001,2023-02-27,Preferred Service Vendor 001,Strategic,24,5197,20.57,0,1.0
VEN0001,2023-03-06,Preferred Service Vendor 001,Strategic,24,5539,26.45,1,0.8775
VEN0001,2023-03-13,Preferred Service Vendor 001,Strategic,24,5041,18.66,0,1.0
VEN0001,2023-03-20,Preferred Service Vendor 001,Strategic,24,2728,24.19,1,0.9905
VEN0001,2023-03-27,Preferred Service Vendor 001,Strategic,24,1532,16.92,0,1.0
VEN0001,2023-04-03,Preferred Service Vendor 001,Strategic,24,3965,33.02,1,0.549
VEN0001,2023-04-10,Preferred Service Vendor 001,Strategic,24,4308,20.53,0,1.0
VEN0001,2023-04-17,Preferred Service Vendor 001,Strategic,24,5691,39.27,1,0.35
VEN0001,2023-04-24,Preferred Service Vendor 001,Strategic,24,4158,17.67,0,1.0
VEN0001,2023-05-01,Preferred Service Vendor 001,Strategic,24,3926,24.5,1,0.975
VEN0001,2023-05-08,Preferred Service Vendor 001,Strategic,24,3044,30.42,1,0.679
VEN0001,2023-05-15,Preferred Service Vendor 001,Strategic,24,3077,33.84,1,0.508
VEN0001,2023-05-22,Preferred Service Vendor 001,Strategic,24,3608,21.02,0,1.0
VEN0001,2023-05-29,Preferred Service Vendor 001,Strategic,24,3038,33.9,1,0.505
VEN0001,2023-06-05,Preferred Service Vendor 001,Strategic,24,5531,33.15,1,0.5425
VEN0001,2023-06-12,Preferred Service Vendor 001,Strategic,24,2927,35.89,1,0.4055
VEN0001,2023-06-19,Preferred Service Vendor 001,Strategic,24,4092,30.74,1,0.663
VEN0001,2023-06-26,Preferred Service Vendor 001,Strategic,24,880,34.58,1,0.471
VEN0001,2023-07-03,Preferred Service Vendor 001,Strategic,24,3668,33.7,1,0.515
VEN0001,2023-07-10,Preferred Service Vendor 001,Strategic,24,5022,29.39,1,0.7305
VEN0001,2023-07-17,Preferred Service Vendor 001,Strategic,24,3686,35.61,1,0.4195
VEN0001,2023-07-24,Preferred Service Vendor 001,Strategic,24,5949,25.72,1,0.914
VEN0001,2023-07-31,Preferred Service Vendor 001,Strategic,24,2479,36.74,1,0.363
VEN0001,2023-08-07,Preferred Service Vendor 001,Strategic,24,1850,22.21,0,1.0
VEN0001,2023-08-14,Preferred Service Vendor 001,Strategic,24,4955,20.28,0,1.0
VEN0001,2023-08-21,Preferred Service Vendor 001,Strategic,24,4295,15.55,0,1.0
VEN0001,2023-08-28,Preferred Service Vendor 001,Strategic,24,3497,16.43,0,1.0
VEN0001,2023-09-04,Preferred Service Vendor 001,Strategic,24,4515,23.42,0,1.0
VEN0001,2023-09-11,Preferred Service Vendor 001,Strategic,24,3031,31.96,1,0.602
VEN0001,2023-09-18,Preferred Service Vendor 001,Strategic,24,3135,32.38,1,0.581
VEN0001,2023-09-25,Preferred Service Vendor 001,Strategic,24,3982,31.46,1,0.627
VEN0001,2023-10-02,Preferred Service Vendor 001,Strategic,24,2581,24.67,1,0.9665
VEN0001,2023-10-09,Preferred Service Vendor 001,Strategic,24,5288,37.02,1,0.35
VEN0001,2023-10-16,Preferred Service Vendor 001,Strategic,24,3657,33.3,1,0.535
VEN0001,2023-10-23,Preferred Service Vendor 001,Strategic,24,3592,35.34,1,0.433
VEN0001,2023-10-30,Preferred Service Vendor 001,Strategic,24,4381,17.62,0,1.0
VEN0001,2023-11-06,Preferred Service Vendor 001,Strategic,24,3655,35.77,1,0.4115
VEN0001,2023-11-13,Preferred Service Vendor 001,Strategic,24,4199,25.09,1,0.9455
VEN0001,2023-11-20,Preferred Service Vendor 001,Strategic,24,5028,28.53,1,0.7735
VEN0001,2023-11-27,Preferred Service Vendor 001,Strategic,24,2174,35.68,1,0.416
VEN0001,2023-12-04,Preferred Service Vendor 001,Strategic,24,3542,37.8,1,0.35
VEN0001,2023-12-11,Preferred Service Vendor 001,Strategic,24,4851,21.17,0,1.0
VEN0001,2023-12-18,Preferred Service Vendor 001,Strategic,24,4951,18.98,0,1.0
VEN0001,2023-12-25,Preferred Service Vendor 001,Strategic,24,4574,33.19,1,0.5405
VEN0001,2024-01-01,Preferred Service Vendor 001,Strategic,24,4249,34.08,1,0.496
VEN0001,2024-01-08,Preferred Service Vendor 001,Strategic,24,4249,36.5,1,0.375
VEN0001,2024-01-15,Preferred Service Vendor 001,Strategic,24,1961,33.66,1,0.517
VEN0001,2024-01-22,Preferred Service Vendor 001,Strategic,24,3618,23.98,0,1.0
VEN0001,2024-01-29,Preferred Service Vendor 001,Strategic,24,5033,17.33,0,1.0
VEN0001,2024-02-05,Preferred Service Vendor 001,Strategic,24,3205,17.36,0,1.0
VEN0001,2024-02-12,Preferred Service Vendor 001,Strategic,24,4024,25.48,1,0.926
VEN0001,2024-02-19,Preferred Service Vendor 001,Strategic,24,5375,17.17,0,1.0
VEN0001,2024-02-26,Preferred Service Vendor 001,Strategic,24,2960,29.63,1,0.7185
VEN0001,2024-03-04,Preferred Service Vendor 001,Strategic,24,3914,18.52,0,1.0
VEN0001,2024-03-11,Preferred Service Vendor 001,Strategic,24,5141,24.99,1,0.9505
VEN0001,2024-03-18,Preferred Service Vendor 001,Strategic,24,4002,31.26,1,0.637
VEN0001,2024-03-25,Preferred Service Vendor 001,Strategic,24,3665,25.31,1,0.9345
VEN0001,2024-04-01,Preferred Service Vendor 001,Strategic,24,3435,30.14,1,0.693
VEN0001,2024-04-08,Preferred Service Vendor 001,Strategic,24,1513,22.81,0,1.0
VEN0001,2024-04-15,Preferred Service Vendor 001,Strategic,24,3795,34.06,1,0.497
VEN0001,2024-04-22,Preferred Service Vendor 001,Strategic,24,2400,22.73,0,1.0
VEN0001,2024-04-29,Preferred Service Vendor 001,Strategic,24,4574,36.7,1,0.365
VEN0001,2024-05-06,Preferred Service Vendor 001,Strategic,24,6301,25.08,1,0.946
