consultant_id,consultant_name,vertical_name,avg_utilization,requests_handled,profit,events,handling_minutes,avg_handling_minutes,sla_breaches,events_per_handled_request
CONT001,Global Advisor 001,APAC,0.7973342857142858,229383,2591549.04,3046,105079.5,34.497537754432045,554,0.013279100892393944
CONT002,Global Advisor 002,APAC,0.7786495238095238,231640,2667832.78,2935,101698.5,34.650255536626915,498,0.012670523225695044
CONT003,Global Advisor 003,India,0.7789257142857142,230269,1786292.6,3027,105852.5,34.96944169144367,534,0.013145495051439839
CONT004,Global Advisor 004,Enterprise,0.7647028571428572,229612,2871867.44,2911,101749.5,34.95345242184816,526,0.012677908820096511
CONT005,Global Advisor 005,North America,0.7843390476190476,227876,3220669.25,2926,102055.3,34.87877648667123,498,0.012840316663448542
CONT006,Global Advisor 006,Australia,0.7761733333333333,245190,2513230.43,2963,103372.0,34.88761390482619,503,0.012084505893388801
CONT007,Global Advisor 007,Middle East,0.7881504761904762,236628,2164553.34,2971,101571.7,34.18771457421744,508,0.012555572459725814
CONT008,Global Advisor 008,Europe,0.7785971428571429,229549,2371820.99,3036,106475.8,35.07108036890646,507,0.013225934332103385
CONT009,Global Advisor 009,Nordics,0.7987733333333333,235344,2397146.06,2974,103705.0,34.870544720914594,543,0.012636820993949282
CONT010,Global Advisor 010,Africa,0.770904761904762,225992,1602070.28,3101,109446.5,35.29393743953563,579,0.013721724662819923
CONT011,Global Advisor 011,North America,0.7755771428571427,235350,3283832.34,3051,103763.4,34.00963618485742,539,0.012963671128107075
CONT012,Global Advisor 012,Europe,0.7743028571428572,250071,2552186.34,2927,99734.0,34.07379569525111,527,0.011704675872052338
CONT013,Global Advisor 013,Australia,0.7796923809523809,237156,2389754.67,3079,107947.2,35.05917505683664,529,0.012983015399146553
CONT014,Global Advisor 014,Latin America,0.7701257142857143,222642,2390000.68,2996,105072.1,35.07079439252337,502,0.013456580519398855
CONT015,Global Advisor 015,Middle East,0.7807809523809524,230308,2092945.8599999999,3052,105931.6,34.7089121887287,541,0.013251819302846623
CONT016,Global Advisor 016,North America,0.7825342857142857,231277,3215178.03,3008,103988.0,34.57047872340426,555,0.013006049023465369
CONT017,Global Advisor 017,APAC,0.7905761904761904,237949,2666995.04,2918,101564.0,34.80603152844414,522,0.012263132015684033
CONT018,Global Advisor 018,APAC,0.7921095238095237,224920,2490986.31,2974,104709.1,35.2081708137189,541,0.013222479103681309
CONT019,Global Advisor 019,India,0.7754838095238095,240223,1957319.09,2966,101867.3,34.3450101146325,533,0.012346861041615498
