consultant_id,consultant_name,vertical_id,vertical_name,weeks,avg_utilization,avg_profitability,requests_handled,revenue,profit,cost,requests_per_week,profit_per_week,capacity_status
CONT001,Global Advisor 001,V05,APAC,105,0.7973342857142858,0.11122285714285714,229383,23329223.669999998,2591549.04,20737674.63,2184.6,24681.41942857143,Underutilized
CONT002,Global Advisor 002,V05,APAC,105,0.7786495238095238,0.11134761904761904,231640,23829529.95,2667832.78,21161697.17,2206.095238095238,25407.931238095236,Underutilized
CONT003,Global Advisor 003,V06,India,105,0.7789257142857142,0.07753238095238095,230269,23185532.77,1786292.6,21399240.169999998,2193.038095238095,17012.310476190476,Underutilized
CONT004,Global Advisor 004,V12,Enterprise,105,0.7647028571428572,0.11986095238095237,229612,23990073.26,2871867.44,21118205.82,2186.7809523809524,27351.118476190477,Underutilized
CONT005,Global Advisor 005,V02,North America,105,0.7843390476190476,0.1383952380952381,227876,23393732.9,3220669.25,20173063.65,2170.247619047619,30673.040476190476,Underutilized
CONT006,Global Advisor 006,V07,Australia,105,0.7761733333333333,0.10047142857142857,245190,25010764.87,2513230.43,22497534.44,2335.1428571428573,23935.527904761908,Underutilized
CONT007,Global Advisor 007,V04,Middle East,105,0.7881504761904762,0.09140285714285715,236628,23661245.25,2164553.34,21496691.91,2253.6,20614.79371428571,Underutilized
CONT008,Global Advisor 008,V03,Europe,105,0.7785971428571429,0.10084857142857143,229549,23605146.97,2371820.99,21233325.98,2186.1809523809525,22588.771333333334,Underutilized
CONT009,Global Advisor 009,V10,Nordics,105,0.7987733333333333,0.09986380952380952,235344,24048929.55,2397146.06,21651783.49,2241.3714285714286,22829.962476190478,Underutilized
CONT010,Global Advisor 010,V09,Africa,105,0.770904761904762,0.0701447619047619,225992,22843445.11,1602070.28,21241374.83,2152.304761904762,15257.81219047619,Underutilized
CONT011,Global Advisor 011,V02,North America,105,0.7755771428571427,0.13699142857142857,235350,24532141.26,3283832.34,21248308.919999998,2241.4285714285716,31274.593714285715,Underutilized
CONT012,Global Advisor 012,V03,Europe,105,0.7743028571428572,0.09988190476190477,250071,25577172.98,2552186.34,23024986.64,2381.6285714285714,24306.53657142857,Underutilized
CONT013,Global Advisor 013,V07,Australia,105,0.7796923809523809,0.0999552380952381,237156,23934364.34,2389754.67,21544609.67,2258.6285714285714,22759.568285714286,Underutilized
CONT014,Global Advisor 014,V01,Latin America,105,0.7701257142857143,0.10739047619047619,222642,22395001.79,2390000.68,20005001.11,2120.4,22761.91123809524,Underutilized
CONT015,Global Advisor 015,V04,Middle East,105,0.7807809523809524,0.08972761904761906,230308,23392581.31,2092945.8599999999,21299635.45,2193.4095238095238,19932.817714285713,Underutilized
CONT016,Global Advisor 016,V02,North America,105,0.7825342857142857,0.13768,231277,23675035.77,3215178.03,20459857.74,2202.638095238095,30620.74314285714,Underutilized
CONT017,Global Advisor 017,V05,APAC,105,0.7905761904761904,0.11047904761904763,237949,24130644.240000002,2666995.04,21463649.2,2266.1809523809525,25399.952761904762,Underutilized
CONT018,Global Advisor 018,V05,APAC,105,0.7921095238095237,0.10907619047619047,224920,22793601.98,2490986.31,20302615.67,2142.095238095238,23723.679142857145,Underutilized
CONT019,Global Advisor 019,V06,India,105,0.7754838095238095,0.08138476190476192,240223,24090784.56,1957319.09,22133465.47,2287.8380952380953,18641.13419047619,Underutilized
CONT020,Global Advisor 020,V04,Middle East,105,0.7856561904761904,0.09028190476190476,229463,24046180.59,2168562.09,21877618.5,2185.361904761905,20652.972285714284,Underutilized
CONT021,Global Advisor 021,V05,APAC,105,0.80674,0.10949428571428571,226616,22650513.86,2479487.54,20171026.32,2158.247619047619,23614.16704761905,Healthy
CONT022,Global Advisor 022,V02,North America,105,0.7910742857142856,0.13819333333333333,234816,22883639.62,3114663.55,19768976.07,2236.342857142857,29663.46238095238,Underutilized
CONT023,Global Advisor 023,V11,Southeast Asia,105,0.7667971428571428,0.0902304761904762,234775,23455576.11,2112773.64,21342802.47,2235.9523809523807,20121.653714285716,Underutilized
CONT024,Global Advisor 024,V07,Australia,105,0.7632647619047619,0.10072761904761904,232014,23634717.669999998,2380008.0,21254709.669999998,2209.657142857143,22666.742857142857,Underutilized
CONT025,Global Advisor 025,V03,Europe,105,0.7962933333333333,0.09811428571428571,232706,24208683.49,2365120.66,21843562.83,2216.247619047619,22524.95866666667,Underutilized
CONT026,Global Advisor 026,V05,APAC,105,0.7671390476190476,0.11106761904761905,229859,22913491.11,2543793.94,20369697.17,2189.133333333333,24226.608952380953,Underutilized
CONT027,Global Advisor 027,V09,Africa,105,0.7661761904761905,0.07169142857142857,237801,23840819.74,1705430.56,22135389.18,2264.7714285714287,16242.19580952381,Underutilized
CONT028,Global Advisor 028,V06,India,105,0.7756066666666667,0.07988285714285714,235360,24253548.66,1930461.9,22323086.76,2241.5238095238096,18385.351428571426,Underutilized
CONT029,Global Advisor 029,V07,Australia,105,0.7839161904761904,0.10049619047619048,239085,25062660.28,2500996.33,22561663.95,2277.0,23819.012666666666,Underutilized
CONT030,Global Advisor 030,V03,Europe,105,0.7917219047619047,0.10065714285714286,232368,23672169.51,2394694.98,21277474.53,2213.0285714285715,22806.618857142857,Underutilized
CONT031,Global Advisor 031,V08,Canada,105,0.775027619047619,0.0894047619047619,231748,23367116.97,2089606.08,21277510.89,2207.1238095238095,19901.010285714285,Underutilized
CONT032,Global Advisor 032,V04,Middle East,105,0.7693657142857143,0.09057904761904761,231911,24241546.5,2190773.13,22050773.37,2208.6761904761906,20864.505999999998,Underutilized
CONT033,Global Advisor 033,V03,Europe,105,0.7840933333333334,0.10080380952380953,233778,24385456.53,2464518.34,21920938.19,2226.457142857143,23471.60323809524,Underutilized
CONT034,Global Advisor 034,V09,Africa,105,0.7794895238095239,0.07163047619047619,241319,24845994.65,1766995.53,23078999.12,2298.2761904761905,16828.528857142857,Underutilized
CONT035,Global Advisor 035,V05,APAC,105,0.7618771428571429,0.10671714285714286,224545,23015372.38,2463173.94,20552198.44,2138.5238095238096,23458.799428571427,Underutilized
CONT036,Global Advisor 036,V05,APAC,105,0.8052561904761905,0.11039428571428572,239093,25149076.11,2793902.61,22355173.5,2277.0761904761903,26608.596285714284,Healthy
CONT037,Global Advisor 037,V02,North America,105,0.7778495238095238,0.13665238095238094,236441,24794682.61,3354840.09,21439842.52,2251.8190476190475,31950.858,Underutilized
