vendor_id,vendor_name,vendor_type,weeks,request_volume,avg_actual_hours,avg_sla_compliance,breach_weeks,breach_rate_pct
VEN0001,Preferred Service Vendor 001,Strategic,105,425194,27.05095238095238,0.7662285714285714,67,63.8095238095238
VEN0002,Preferred Service Vendor 002,Standard,105,438691,2.3132380952380953,0.9723238095238095,67,63.8095238095238
VEN0003,Preferred Service Vendor 003,Standard,105,441911,13.137142857142859,0.8970238095238096,68,64.76190476190476
VEN0004,Preferred Service Vendor 004,Strategic,105,433653,13.857333333333333,0.8779190476190476,69,65.71428571428571
VEN0005,Preferred Service Vendor 005,Preferred,105,434018,27.204190476190476,0.7735238095238095,67,63.8095238095238
VEN0006,Preferred Service Vendor 006,Strategic,105,451214,8.981238095238094,0.9230333333333333,66,62.857142857142854
VEN0007,Preferred Service Vendor 007,Preferred,105,438639,8.828380952380952,0.9302523809523809,67,63.8095238095238
VEN0008,Preferred Service Vendor 008,Standard,105,447621,13.22152380952381,0.8862047619047619,62,59.04761904761905
VEN0009,Preferred Service Vendor 009,Standard,105,440176,8.570190476190476,0.9375333333333333,61,58.0952380952381
VEN0010,Preferred Service Vendor 010,Strategic,105,463507,8.585142857142857,0.9346809523809525,60,57.14285714285714
VEN0011,Preferred Service Vendor 011,Standard,105,443746,4.426095238095238,0.9637571428571429,66,62.857142857142854
VEN0012,Preferred Service Vendor 012,Preferred,105,439160,2.330380952380952,0.9734666666666667,68,64.76190476190476
VEN0013,Preferred Service Vendor 013,Strategic,105,420892,13.33447619047619,0.8975952380952381,70,66.66666666666666
VEN0014,Preferred Service Vendor 014,Preferred,105,455497,12.86847619047619,0.905295238095238,60,57.14285714285714
VEN0015,Preferred Service Vendor 015,Standard,105,440505,8.523904761904761,0.9399619047619048,58,55.23809523809524
VEN0016,Preferred Service Vendor 016,Preferred,105,446913,4.404476190476191,0.9624047619047619,61,58.0952380952381
VEN0017,Preferred Service Vendor 017,Standard,105,448761,8.638857142857143,0.9363952380952381,62,59.04761904761905
VEN0018,Preferred Service Vendor 018,Standard,105,421394,13.008857142857144,0.8990904761904762,65,61.904761904761905
VEN0019,Preferred Service Vendor 019,Strategic,105,458267,4.613619047619047,0.9545190476190477,69,65.71428571428571
