vertical_id,consultants,consultant_weeks,avg_utilization,avg_profitability,requests_handled,revenue,profit,cost,vertical_name,target_profitability_pct,utilization_gap_to_target,profitability_gap_to_target
V01,4,420,0.7746238095238095,0.10726261904761905,932462,95444669.48,10214250.92,85230418.56,Latin America,0.15,-0.07537619047619049,-0.04273738095238094
V02,13,1365,0.7786883516483516,0.13742666666666667,3024712,310695869.82,42351786.84,268344082.98,North America,0.19,-0.07131164835164838,-0.05257333333333333
V03,13,1365,0.7813153113553114,0.10001223443223442,3019281,308447687.77,30838561.47,277609126.3,Europe,0.12,-0.06868468864468857,-0.019987765567765575
V04,12,1260,0.7831401587301587,0.09007333333333334,2764650,283001463.25,25476818.41,257524644.84,Middle East,0.12,-0.06685984126984124,-0.029926666666666657
V05,16,1680,0.7792374999999999,0.11029339285714286,3712043,381839842.73,42165427.89,339674414.84,APAC,0.14,-0.07076250000000006,-0.029706607142857153
V06,8,840,0.780257261904762,0.07995452380952381,1862269,188717572.3,15076011.08,173641561.22,India,0.12,-0.06974273809523801,-0.04004547619047619
V07,8,840,0.7733155952380952,0.09976916666666667,1860183,190537897.84,19002695.49,171535202.35,Australia,0.13,-0.07668440476190475,-0.030230833333333332
V08,5,525,0.7714740952380953,0.09005390476190477,1162620,120198665.67,10794078.55,109404587.12,Canada,0.12,-0.07852590476190469,-0.02994609523809523
V09,8,840,0.7751217857142857,0.07093857142857143,1856353,189682474.79,13422688.16,176259786.63,Africa,0.11,-0.07487821428571428,-0.039061428571428566
V10,4,420,0.7889609523809524,0.09989166666666667,928917,95959362.21,9592574.15,86366788.06,Nordics,0.13,-0.06103904761904755,-0.030108333333333334
V11,3,315,0.7792888888888889,0.09008730158730159,696868,71163966.03,6394671.87,64769294.16,Southeast Asia,0.12,-0.07071111111111106,-0.029912698412698405
V12,6,630,0.7781550793650794,0.12009539682539683,1394983,145354184.31,17449103.53,127905080.78,Enterprise,0.15,-0.07184492063492054,-0.029904603174603167
