week_start,events,handling_minutes,avg_response_hours,sla_breaches,escalations,revenue_impact,sla_breach_rate_pct
2022-12-26,439,14660.7,7.832232346241458,74,30,101105.03,16.856492027334852
2023-01-02,2925,99782.0,8.056803418803419,541,229,635778.53,18.495726495726494
2023-01-09,2889,100826.4,7.971343025268259,520,262,659544.48,17.99930771893389
2023-01-16,2927,103133.1,8.043392552101126,529,250,631851.62,18.073112401776566
2023-01-23,2962,102100.4,7.954588116137745,499,239,674895.79,16.846725185685347
2023-01-30,2983,103360.3,7.938984244049615,507,252,656076.59,16.996312437143814
2023-02-06,2843,98298.8,7.888128737249385,506,242,635268.96,17.798100597959902
2023-02-13,2821,97145.2,8.084824530308401,518,266,643261.5,18.36228287841191
2023-02-20,2750,96540.5,8.24678909090909,524,210,612079.09,19.054545454545455
2023-02-27,2872,99246.5,7.884220055710307,508,238,639840.89,17.68802228412256
2023-03-06,2839,97262.0,7.818372666431842,477,233,633994.48,16.80169073617471
2023-03-13,2975,102301.0,7.745327731092437,499,265,691940.64,16.77310924369748
2023-03-20,2840,100384.1,8.307151408450705,563,224,623852.94,19.823943661971832
2023-03-27,2863,96707.8,8.018980090813832,542,241,636715.48,18.931191058330423
2023-04-03,2826,97936.0,7.98851026185421,506,240,622525.34,17.905166312809627
2023-04-10,2801,98216.4,7.819625133880757,474,242,611052.86,16.922527668689753
2023-04-17,2886,98158.6,7.8110637560637555,506,265,645449.85,17.532917532917534
2023-04-24,2809,100356.2,7.84879316482734,491,259,674580.47,17.47953008187967
2023-05-01,2945,99946.6,7.7706417657045845,511,268,683002.44,17.35144312393888
2023-05-08,2968,101371.4,8.060259433962264,546,261,670435.22,18.39622641509434
2023-05-15,2887,99407.0,7.909657083477659,541,236,662787.8,18.73917561482508
2023-05-22,2955,101969.1,7.6098849407783415,446,250,669894.7,15.09306260575296
2023-05-29,2835,98979.4,8.002190476190476,499,263,630144.73,17.60141093474427
2023-06-05,2867,99537.4,7.815981862574119,492,228,640568.16,17.16079525636554
2023-06-12,2854,101387.7,8.030501051156271,519,256,641581.33,18.18500350385424
2023-06-19,2786,95019.8,7.831633165829146,461,210,598192.87,16.547020818377604
2023-06-26,2913,100078.4,7.931218674905596,525,266,614165.42,18.022657054582904
2023-07-03,2903,100907.6,7.7884119875990345,487,217,666907.2,16.775749224939716
2023-07-10,2899,100570.5,8.029413590893412,539,247,655182.42,18.59261814418765
2023-07-17,2795,95699.5,7.783867620751342,457,251,637965.01,16.35062611806798
2023-07-24,2989,102008.6,7.978778855804617,557,248,646577.41,18.6349949815992
2023-07-31,2825,99718.9,7.730704424778762,478,221,673464.55,16.920353982300885
2023-08-07,2924,100975.7,8.086347469220247,531,242,631514.42,18.160054719562243
2023-08-14,2891,99149.5,7.95395019024559,493,230,655492.32,17.05292286406088
2023-08-21,2867,101172.4,7.784276246948029,495,235,633368.58,17.265434251831184
2023-08-28,2899,101763.1,8.00330113832356,517,246,620087.38,17.833735770955503
2023-09-04,2815,99596.3,7.93434458259325,510,233,649911.0,18.117229129662523
2023-09-11,2853,98443.4,7.905758850332983,509,260,639963.86,17.84086926042762
2023-09-18,2905,100143.8,7.942722891566265,514,267,625680.23,17.693631669535286
2023-09-25,2888,100149.0,7.9787361495844875,549,220,642553.55,19.009695290858726
2023-10-02,2829,96559.1,7.911375044185224,508,241,638175.29,17.956875220926122
2023-10-09,2836,98440.7,7.966082510578279,493,250,647022.98,17.3836389280677
2023-10-16,2970,104703.9,7.724013468013468,486,252,648498.24,16.363636363636363
2023-10-23,2757,95372.1,8.073021400072543,495,237,656827.87,17.95429815016322
2023-10-30,2886,99262.8,7.971902286902287,528,244,627131.17,18.295218295218298
2023-11-06,2897,99838.2,8.076303072143597,526,258,616298.53,18.156713841905418
2023-11-13,2869,100274.5,7.908372255141164,504,263,645929.96,17.567096549320322
